"Data","Descrição","Categoria","Parcelas","Crédito","Débito","FOP","Situação"
"06/06/2022","Tiffany","","1/2"," -","74,89","CCredito Nubank","Pago"
"06/06/2022","99 taxi","Transporte"," -"," -","265,97","CCredito Nubank","Pago"
"06/06/2022","Carone","Alimentação","2/2"," -","201,02","CCredito Nubank","Pago"
"09/06/2022","Carone","Alimentação"," -"," -","287,69","CCorrente NuBank","Pago"
"08/06/2022","Lanchonete","Alimentação"," -"," -","15","CCorrente NuBank","Pago"
"06/06/2022","Josias Moreira","Manutenção casa"," -"," -","50","CCorrente NuBank","Pago"
"04/06/2022","Gugu","Outros"," -"," -","150","CCorrente NuBank","Pago"
"02/06/2022","Estima Dog","Felinos"," -"," -","10,2","CCorrente NuBank","Pago"
"02/06/2022","Tabacaria","Outros"," -"," -","30","CCorrente NuBank","Pago"
"08/06/2022","Sodiê","Alimentação"," -"," -","14,5","CCorrente NuBank","Pago"
"07/06/2022","Celular Tec","Diversos"," -"," -","35","CCorrente NuBank","Pago"
"07/06/2022","99 Taxi","Transporte"," -"," -","13","CCorrente NuBank","Pago"
"27/05/2022","Pedrinho","Presente"," -","50","","CCorrente NuBank","Pago"
"26/05/2022","Petspa","Felinos"," -"," -","32,65","CCorrente NuBank","Pago"
"26/05/2022","Café Bamboo","Alimentação"," -"," -","62","CCorrente NuBank","Pago"
"25/05/2022","Cantina Fiorentina","Alimentação"," -"," -","26,97","CCorrente NuBank","Pago"
"23/03/2022","Tabacaria","outros"," -"," -","64","CCorrente NuBank","Pago"
"22/05/2022","I-Food","Alimentação"," -"," -","55,5","CCorrente NuBank","Pago"
"16/05/2022","99 Taxi","Transporte"," -"," -","11,99","CCorrente NuBank","Pago"
"14/05/2022","Kabecos","Alimentação"," -"," -","26,5","CCorrente NuBank","Pago"
"12/05/2022","Salgados express","Alimentação"," -"," -","13,5","CCorrente NuBank","Pago"
"08/05/2022","Carone","Alimentação"," -"," -","16,78","CCorrente NuBank","Pago"
"05/05/2022","Carone","Alimentação"," -"," -","166,78","CCorrente NuBank","Pago"
"05/05/2022","Fundart","Tearte Portugal"," -"," -","330","CCorrente NuBank","Pago"
"28/04/20225","Starbucks","Viagem Trabalho"," -"," -","35,5","CCorrente NuBank","Pago"
"27/04/2022","Estima Dog","Felinos"," -"," -","68,3","CCorrente NuBank","Pago"
"23/04/2022","Tabacaria","outros"," -"," -","64","CCorrente NuBank","Pago"
"25/01/2022","Kabecos","Alimentação"," -"," -","10","CCorrente NuBank","Pago"
"24/01/2022","LCR Comercio Moveis","Gabriel"," -"," -","299","CCorrente NuBank","Pago"
"22/01/2022","Pet Z","Felinos"," -"," -","96,69","CCorrente NuBank","Pago"
"24/01/2022","Celga","Clé Concept"," -"," -","89,94","CCorrente NuBank","Pago"
"julho","IOF","Impostos","Mensal","","0,79","CCorrente Santander","Pago"
"","IOF","Impostos","Mensal","","11,59","CCorrente Santander","Pago"
"","Vivo Fibra","Moradia","mensal","","56,6","CCorrente Santander","Pago"
"","Viva Fibra","Air BNB","mensal","","56,6","CCorrente Santander","Pago"
"07/06/2022","Escelsa","Air BNB","mensal","","121,62","CCorrente Santander","Pago"
"07/06/2022","Escelsa","Moradia","mensal","","121,62","CCorrente Santander","Pago"
"10/06/2022","Air Bnb","Condomínio","mensal","","200","CCorrente Santander","Pago"
"10/06/2022","Edf Maison Rio Branco","Air BNB","mensal","","209,97","CCorrente Santander","Pago"
"17/06/2022","Vivo Gabriel","celular","mensal","","44,9","CCorrente Santander","Pago"
"22/06/2022","IPTU","Air BNB","mensal","","103,18","CCorrente Santander","Pago"
"20/06/2022","Banco Original","empréstimo","","","584,86","CCorrente Santander","Pago"
"22/06/2022","Air Bnb","IPTU","mensal","","103,18","CCorrente Santander","Pago"
"15/06/2022","Vivo Pedro","Celular","mensal","","44,98","CCorrente Santander","Pago"
"15/06/2022","Vivo Priscilla","Celular","mensal","","47,98","CCorrente Santander","Pago"
"06/06/2022","Cvc Corp","Salario"," - ","2731,56","","CCorrente Santander","Pago"
"04/07/2022","Shopping do Micro","Manutenção","2/3","","190","CCredito Nubank",""
"04/07/2022","Oticas Diniz","Cuidados Pessoais","10/10","","113","CCredito Nubank",""
"04/07/2022","Spotfy","Assinatura","Mensal","","19,9","CCredito Nubank",""
"04/07/2022","Globo Play","Assinatura","Mensal","","22,9","CCredito Nubank",""
"04/07/2022","Google","Assinatura","Mensal","","6,99","CCredito Nubank",""
"04/07/2022","Carone","Alimentação","2/2","","143,42","CCredito Nubank",""
"04/07/2022","Estima Dog","Felinos","2/3","","73,34","CCredito Nubank",""
"04/07/2022","Tiffany","","1/2","","74,89","CCredito Nubank",""
"04/08/2022","Estima Dog","Felinos","3/3","","73,34","CCredito Nubank",""
"04/08/2022","Shopping do Micro","Manutenção","3/3","","190","CCredito Nubank",""
"04/08/2022","Tiffany","","1/2","","74,89","CCredito Nubank",""
